k,L,Lambda,c_Q,a_SE,regime,predicted_corner,corner_matches_formula,soc_value,passed
5.0,6.0,3.0,1.0,0.0,corner,0.0,True,5.495414591578132,True
5.0,6.0,3.0,2.0,0.0,corner,0.0,True,1.373853647894533,True
5.0,10.0,5.0,1.0,0.0,corner,0.0,True,21.981658366312526,True
5.0,10.0,5.0,2.0,0.0,corner,0.0,True,12.364682831050796,True
5.0,10.0,5.0,3.0,0.0,corner,0.0,True,5.495414591578132,True
5.0,14.0,7.0,1.0,0.0,corner,0.0,True,49.458731324203185,True
5.0,14.0,7.0,2.0,0.0,corner,0.0,True,34.346341197363316,True
5.0,14.0,7.0,3.0,0.0,corner,0.0,True,21.981658366312526,True
10.0,6.0,3.0,1.0,1.0,corner,1.0,True,5.495414591578132,True
10.0,6.0,3.0,2.0,1.0,corner,1.0,True,1.373853647894533,True
10.0,10.0,5.0,1.0,1.0,corner,1.0,True,21.981658366312526,True
10.0,10.0,5.0,2.0,1.0,corner,1.0,True,12.364682831050796,True
10.0,10.0,5.0,3.0,0.0,corner,0.0,True,5.495414591578132,True
10.0,14.0,7.0,1.0,0.0,corner,0.0,True,49.458731324203185,True
10.0,14.0,7.0,2.0,0.0,corner,0.0,True,34.346341197363316,True
10.0,14.0,7.0,3.0,0.0,corner,0.0,True,21.981658366312526,True
20.0,6.0,3.0,1.0,1.0,corner,1.0,True,5.495414591578132,True
20.0,6.0,3.0,2.0,1.0,corner,1.0,True,1.373853647894533,True
20.0,10.0,5.0,1.0,1.0,corner,1.0,True,21.981658366312526,True
20.0,10.0,5.0,2.0,1.0,corner,1.0,True,12.364682831050796,True
20.0,10.0,5.0,3.0,1.0,corner,1.0,True,5.495414591578132,True
20.0,14.0,7.0,1.0,1.0,corner,1.0,True,49.458731324203185,True
20.0,14.0,7.0,2.0,1.0,corner,1.0,True,34.346341197363316,True
20.0,14.0,7.0,3.0,1.0,corner,1.0,True,21.981658366312526,True
30.0,6.0,3.0,1.0,1.0,corner,1.0,True,5.495414591578132,True
30.0,6.0,3.0,2.0,1.0,corner,1.0,True,1.373853647894533,True
30.0,10.0,5.0,1.0,1.0,corner,1.0,True,21.981658366312526,True
30.0,10.0,5.0,2.0,1.0,corner,1.0,True,12.364682831050796,True
30.0,10.0,5.0,3.0,1.0,corner,1.0,True,5.495414591578132,True
30.0,14.0,7.0,1.0,1.0,corner,1.0,True,49.458731324203185,True
30.0,14.0,7.0,2.0,1.0,corner,1.0,True,34.346341197363316,True
30.0,14.0,7.0,3.0,1.0,corner,1.0,True,21.981658366312526,True
