kappa_L,kappa_H,delta_kappa,bias,lambda_A,a_L,m_L,a_H,m_H,a_H_B,distortion,pi_screening,pi_pooling,payoff_gap,a_SE,pooling_regime,IC_L_slack,IC_H_slack,IR_L_slack,IR_H_slack,active_constraints
0.3,0.35,0.04999999999999999,1.0,3.0,0.9999999999999996,9.230768577652714,1.0,9.230768577652697,0.0,-1.0,83.84615383615379,83.75,0.09615383615378903,0.0,corner,-1.4210854715202004e-14,1.4210854715202004e-14,85.68047387517832,83.55029666182382,IC_L+IC_H
0.3,0.35,0.04999999999999999,2.0,4.0,5.758632424951686e-16,10.0,0.693035109837873,10.0,0.0,-0.693035109837873,83.75,83.75,0.0,0.0,corner,0.0,0.0,85.0,82.5,IC_L+IC_H
0.3,0.35,0.04999999999999999,3.0,5.0,2.3835494368951593e-16,10.0,0.6849965757794053,9.999999999999998,0.0,-0.6849965757794053,83.75,83.75,0.0,0.0,corner,0.0,0.0,85.0,82.5,IC_L+IC_H
0.3,0.35,0.04999999999999999,4.0,6.0,9.816220201555174e-16,10.0,0.6166665951410856,10.0,0.0,-0.6166665951410856,83.75,83.75,0.0,0.0,corner,0.0,0.0,85.0,82.5,IC_L+IC_H
0.3,0.4,0.10000000000000003,1.0,3.0,1.0,8.666664792005,0.9633336102351836,8.333333999261963,0.0,-0.9633336102351836,82.86111110111065,82.5,0.3611111011106516,0.0,corner,1.4210854715202004e-14,0.2833311536861771,86.06666779146315,82.59444501430036,IC_L
0.3,0.4,0.10000000000000003,2.0,4.0,2.4627296061437617e-15,10.0,0.6808605353037308,10.0,0.0,-0.6808605353037308,82.5,82.5,0.0,0.0,corner,0.0,0.0,85.0,80.0,IC_L+IC_H
0.3,0.4,0.10000000000000003,3.0,5.0,4.521432581689017e-16,10.0,0.6484843078219852,10.0,0.0,-0.6484843078219852,82.5,82.5,0.0,0.0,corner,0.0,0.0,85.0,80.0,IC_L+IC_H
0.3,0.4,0.10000000000000003,4.0,6.0,7.38393127750867e-16,10.0,0.4666667302449554,10.0,0.0,-0.4666667302449554,82.5,82.5,0.0,0.0,corner,0.0,0.0,85.0,80.0,IC_L+IC_H
0.3,0.45,0.15000000000000002,1.0,3.0,1.0,8.666669373299227,0.9399997656835068,6.666670662132471,1.0,0.06000023431649315,82.16666665666476,81.25,0.9166666566647592,0.0,corner,4.263256414560601e-14,2.299999523155833,86.06666504268604,82.73332771388566,IC_L
0.3,0.45,0.15000000000000002,2.0,4.0,9.89675330627204e-16,10.0,0.6904762014435576,9.523809304407369,0.0,-0.6904762014435576,81.26984126984061,81.25,0.01984126984061163,0.0,corner,3.922195901395753e-12,0.6972792249923572,85.0,78.19727922499236,IC_L
0.3,0.45,0.15000000000000002,3.0,5.0,0.0,10.0,0.6560374628882917,10.0,0.0,-0.6560374628882917,81.25,81.25,0.0,0.0,corner,0.0,0.0,85.0,77.5,IC_L+IC_H
0.3,0.45,0.15000000000000002,4.0,6.0,1.9724310100152473e-16,10.0,0.31666622956594925,10.0,0.0,-0.31666622956594925,81.25,81.25,0.0,0.0,corner,0.0,0.0,85.0,77.5,IC_L+IC_H
0.3,0.5,0.2,1.0,3.0,0.9999999999999992,8.666666254695464,0.9688889340620989,5.555554723229893,1.0,0.03111106593790114,81.70370369370401,80.0,1.7037036937040142,0.0,corner,-1.1652900866465643e-12,4.4246915687486705,86.06666691384936,82.98024808557032,IC_L
0.3,0.5,0.2,2.0,4.0,7.316888633305113e-16,10.0,0.7499999559235518,8.33333421486269,1.0,0.25000004407644816,80.27777777777771,80.0,0.2777777777777146,0.0,corner,-9.947598300641403e-14,3.0555540863399813,85.0,78.05555408633998,IC_L
0.3,0.5,0.2,3.0,5.0,9.783733335784617e-17,10.0,0.6747768751266106,10.0,0.0,-0.6747768751266106,80.0,80.0,0.0,0.0,corner,0.0,0.0,85.0,75.0,IC_L+IC_H
0.3,0.5,0.2,4.0,6.0,7.74603024950855e-16,10.0,0.14355536954792086,9.999999999999988,0.0,-0.14355536954792086,80.0,80.0,0.0,0.0,corner,1.4210854715202004e-14,0.0,85.0,75.0,IC_L+IC_H
0.3,0.6,0.3,1.0,3.0,0.9999999999999971,8.888889147850481,0.9999999999999836,4.444444185484142,1.0,1.6431300764452317e-14,81.11111110111122,77.91666666666667,3.1944444344445486,0.0,corner,-5.968558980384842e-13,8.88888992473413,85.92592575328484,82.96296313560288,IC_L
0.3,0.6,0.3,2.0,4.0,0.0,10.0,0.833333333333333,6.666666666666667,1.0,0.16666666666666696,78.88888888888889,77.91666666666667,0.9722222222222143,0.0,corner,1.4210854715202004e-14,8.333333333333329,85.0,78.33333333333333,IC_L
0.3,0.6,0.3,3.0,5.0,0.0,10.0,0.0,8.333333333333334,0.0,0.0,77.91666666666667,77.91666666666667,0.0,0.0,corner,3.75,0.8333333333333428,85.0,70.83333333333334,
0.3,0.6,0.3,4.0,6.0,0.0,10.0,0.0,8.333333333333334,0.0,0.0,77.91666666666667,77.91666666666667,0.0,0.0,corner,3.75,0.8333333333333428,85.0,70.83333333333334,
