mu_A,lambda_A,c_Q,bias_ratio,a_L,m_L,a_H,m_H,a_B_H,m_B_H,a_B_L,m_B_L,downward_distortion,IC_L_slack,IC_H_slack,IR_L_slack,IR_H_slack,active_constraints,IC_L_active,IC_H_active,IR_L_active,IR_H_active
0.1,2.0,2.0,10.0,1.0,6.666661400834057,1.0,3.999999942458547,1.0,3.9999466176374283,1.0,6.666606482445063,0.0,1.0666667126956781,1.7777707566745562,86.66666666666251,84.0,None,False,False,False,False
0.1,4.0,2.0,20.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.1,6.0,2.0,30.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.1,8.0,2.0,40.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.1,10.0,2.0,50.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.1,12.0,2.0,60.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.1,14.0,2.0,70.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.1,16.0,2.0,80.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.1,18.0,2.0,90.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.1,20.0,2.0,100.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.2,2.0,2.0,5.0,1.0,6.666660919144424,1.0,3.9999977472592794,1.0,4.000017674433805,1.0,6.666670860840968,0.0,1.066668468855056,1.7777701144217701,86.66666666666171,83.99999999999874,None,False,False,False,False
0.2,4.0,2.0,10.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.2,6.0,2.0,15.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.2,8.0,2.0,20.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.2,10.0,2.0,25.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.2,12.0,2.0,30.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.2,14.0,2.0,35.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.2,16.0,2.0,40.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.2,18.0,2.0,45.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.2,20.0,2.0,50.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.30000000000000004,2.0,2.0,3.333333333333333,1.0,6.666667265454955,1.0,4.000001393377877,1.0,3.9999995164335274,1.0,6.666655888038066,0.0,1.0666655519646042,1.777778576161765,86.66666666666661,83.99999999999952,None,False,False,False,False
0.30000000000000004,4.0,2.0,6.666666666666666,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.30000000000000004,6.0,2.0,9.999999999999998,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.30000000000000004,8.0,2.0,13.333333333333332,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.30000000000000004,10.0,2.0,16.666666666666664,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.30000000000000004,12.0,2.0,19.999999999999996,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.30000000000000004,14.0,2.0,23.33333333333333,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.30000000000000004,16.0,2.0,26.666666666666664,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.30000000000000004,18.0,2.0,29.999999999999996,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.30000000000000004,20.0,2.0,33.33333333333333,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
