k,g,c_Q,V,a_SE_exact,regime_exact,a_SE_approx,regime_approx,corner_property_survives,screen_a_B_H,screen_a_H,distortion_exact,downward_distortion_holds,active_constraints,IC_L_active,IC_H_active,IR_H_active
3,0.5,2.0,100.0,0.0,corner_0,0.0,corner,True,1.0,0.9999999999764271,2.35729213926561e-11,False,IC_L+IC_H,True,True,False
3,0.65,2.0,100.0,0.0,corner_0,0.0,corner,True,1.0,0.9999999999997435,2.5646151868841116e-13,False,IC_L+IC_H,True,True,False
3,0.8,2.0,100.0,0.0,corner_0,1.0,corner,True,1.0,1.0,0.0,False,IC_L+IC_H,True,True,False
3,0.9,2.0,100.0,0.0,corner_0,1.0,corner,True,1.0,0.9999999999999718,2.8199664825478976e-14,False,IC_L+IC_H,True,True,False
3,0.95,2.0,100.0,0.0,corner_0,1.0,corner,True,1.0,0.9807119118826738,0.019288088117326185,True,IC_L+IC_H,True,True,False
5,0.5,2.0,100.0,1.0,corner_1,0.0,corner,True,1.0,1.0,0.0,False,IC_L+IC_H,True,True,False
5,0.65,2.0,100.0,1.0,corner_1,0.0,corner,True,1.0,0.9999999999868081,1.3191892023201035e-11,False,IC_L+IC_H,True,True,False
5,0.8,2.0,100.0,1.0,corner_1,1.0,corner,True,1.0,1.0,0.0,False,IC_L+IC_H,True,True,False
5,0.9,2.0,100.0,1.0,corner_1,1.0,corner,True,1.0,0.9999999999999389,6.106226635438361e-14,False,IC_L+IC_H,True,True,False
5,0.95,2.0,100.0,1.0,corner_1,1.0,corner,True,1.0,0.9482857227325704,0.05171427726742961,True,IC_L+IC_H,True,True,False
8,0.5,2.0,100.0,1.0,corner_1,0.0,corner,True,1.0,0.9984255693230258,0.001574430676974159,True,IC_L+IC_H,True,True,False
8,0.65,2.0,100.0,1.0,corner_1,0.0,corner,True,1.0,1.0,0.0,False,IC_L+IC_H,True,True,False
8,0.8,2.0,100.0,1.0,corner_1,1.0,corner,True,1.0,0.989864211579393,0.010135788420607028,True,IC_L+IC_H,True,True,False
8,0.9,2.0,100.0,1.0,corner_1,1.0,corner,True,1.0,0.9530628056817456,0.04693719431825438,True,IC_L+IC_H,True,True,False
8,0.95,2.0,100.0,1.0,corner_1,0.0,corner,True,1.0,0.8869207755120758,0.11307922448792418,True,IC_L+IC_H,True,True,False
10,0.5,2.0,100.0,1.0,corner_1,0.0,corner,True,1.0,0.979863128854001,0.020136871145999047,True,IC_L,True,False,False
10,0.65,2.0,100.0,1.0,corner_1,0.0,corner,True,1.0,0.9710698934959251,0.028930106504074904,True,IC_L,True,False,False
10,0.8,2.0,100.0,1.0,corner_1,1.0,corner,True,1.0,0.948567948213834,0.051432051786166055,True,IC_L,True,False,False
10,0.9,2.0,100.0,1.0,corner_1,0.0,corner,True,1.0,0.8921934629551151,0.10780653704488485,True,IC_L,True,False,False
10,0.95,2.0,100.0,1.0,corner_1,0.0,corner,True,1.0,0.7494522359094682,0.2505477640905318,True,IC_L,True,False,False
15,0.5,2.0,100.0,1.0,corner_1,0.0,corner,True,1.0,0.998946196813618,0.0010538031863820407,True,IC_L,True,False,False
15,0.65,2.0,100.0,1.0,corner_1,0.0,corner,True,1.0,0.9978505628813921,0.002149437118607933,True,IC_L,True,False,False
15,0.8,2.0,100.0,1.0,corner_1,1.0,corner,True,1.0,0.9934098061676875,0.006590193832312519,True,IC_L,True,False,False
15,0.9,2.0,100.0,1.0,corner_1,0.0,corner,True,1.0,0.9720034714582476,0.027996528541752386,True,IC_L,True,False,False
15,0.95,2.0,100.0,1.0,corner_1,0.0,corner,True,1.0,0.8041085747603045,0.1958914252396955,True,IC_L,True,False,False
20,0.5,2.0,100.0,1.0,corner_1,1.0,corner,True,1.0,0.999463540495629,0.0005364595043709786,False,IC_L,True,False,False
20,0.65,2.0,100.0,1.0,corner_1,1.0,corner,True,1.0,0.9988973607381594,0.0011026392618406211,True,IC_L,True,False,False
20,0.8,2.0,100.0,1.0,corner_1,1.0,corner,True,1.0,0.9965504107755958,0.0034495892244041926,True,IC_L,True,False,False
20,0.9,2.0,100.0,1.0,corner_1,0.0,corner,True,1.0,0.9847901672359286,0.015209832764071396,True,IC_L,True,False,False
20,0.95,2.0,100.0,1.0,corner_1,0.0,corner,True,1.0,0.0,1.0,True,IC_H,False,True,False
