kappa,k,q1,q2,m1,m2,dm,unspecified1,lhs_ass1,ass1_holds,mono_holds,cross_partial_negative,m_soph,m_naive,u_soph,u_naive,welfare_loss,naive_worse,naive_underspec
0.2,5,0.7,0.71,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.71,0.72,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.72,0.73,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.73,0.74,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.74,0.75,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.75,0.76,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.76,0.77,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.77,0.78,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.78,0.79,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.79,0.7999999999999999,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.7999999999999999,0.8099999999999999,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.8099999999999999,0.82,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.82,0.83,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.83,0.84,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.84,0.85,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.85,0.86,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.86,0.87,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.87,0.88,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.88,0.89,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.89,0.9,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.9,0.91,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.91,0.9199999999999999,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.9199999999999999,0.9299999999999999,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.9299999999999999,0.94,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.94,0.95,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.95,0.96,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.96,0.97,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.97,0.98,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,5,0.98,0.99,5.0,5.0,0.0,0.0,-0.0,True,True,True,5.0,5.0,97.5,97.5,0.0,True,True
0.2,6,0.7,0.71,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.71,0.72,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.72,0.73,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.73,0.74,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.74,0.75,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.75,0.76,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.76,0.77,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.77,0.78,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.78,0.79,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.79,0.7999999999999999,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.7999999999999999,0.8099999999999999,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.8099999999999999,0.82,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.82,0.83,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.83,0.84,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.84,0.85,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
