rho,mu_A,lambda_A,Delta,in_corner_regime,pi_diff,pi_diff_analytical,normalized_diff,a_corner,rho_star,matches_analytical_sign
0.2,0.1,0.020000000000000004,-0.17999999999999994,True,1.448805428516294,1.4488054285162941,14.488054285162939,1,1.796338425716992,True
0.2,0.2,0.04000000000000001,-0.3599999999999999,True,2.897610857032588,2.8976108570325882,14.488054285162939,1,1.796338425716992,True
0.2,0.30000000000000004,0.06000000000000001,-0.5399999999999999,True,4.346416285548882,4.346416285548883,14.488054285162937,1,1.796338425716992,True
0.2,0.4,0.08000000000000002,-0.7199999999999998,True,5.795221714065176,5.7952217140651765,14.488054285162939,1,1.796338425716992,True
0.2,0.5,0.1,-0.8999999999999998,True,7.244027142581471,7.24402714258147,14.488054285162942,1,1.796338425716992,True
0.2,0.6,0.12,-1.0799999999999996,True,8.692832571097764,8.692832571097764,14.48805428516294,1,1.796338425716992,True
0.2,0.7000000000000001,0.14,-1.2599999999999998,True,10.141637999614058,10.141637999614058,14.488054285162939,1,1.796338425716992,True
0.2,0.8,0.16000000000000003,-1.4399999999999995,True,11.590443428130351,11.590443428130353,14.488054285162939,1,1.796338425716992,True
0.2,0.9,0.18000000000000002,-1.6199999999999997,True,13.039248856646648,13.039248856646646,14.488054285162942,1,1.796338425716992,True
0.2,1.0,0.2,-1.7999999999999996,True,14.488054285162942,14.48805428516294,14.488054285162942,1,1.796338425716992,True
0.5,0.1,0.05,-0.14999999999999997,True,1.1765313157386919,1.176531315738692,11.765313157386919,1,1.796338425716992,True
0.5,0.2,0.1,-0.29999999999999993,True,2.3530626314773837,2.353062631477384,11.765313157386919,1,1.796338425716992,True
0.5,0.30000000000000004,0.15000000000000002,-0.44999999999999996,True,3.529593947216076,3.5295939472160764,11.765313157386919,1,1.796338425716992,True
0.5,0.4,0.2,-0.5999999999999999,True,4.706125262954767,4.706125262954768,11.765313157386919,1,1.796338425716992,True
0.5,0.5,0.25,-0.7499999999999998,True,5.882656578693459,5.88265657869346,11.765313157386919,1,1.796338425716992,True
0.5,0.6,0.3,-0.8999999999999997,True,7.05918789443215,7.059187894432152,11.765313157386917,1,1.796338425716992,True
0.5,0.7000000000000001,0.35000000000000003,-1.0499999999999998,True,8.235719210170844,8.235719210170846,11.765313157386919,1,1.796338425716992,True
0.5,0.8,0.4,-1.1999999999999997,True,9.412250525909535,9.412250525909537,11.765313157386919,1,1.796338425716992,True
0.5,0.9,0.45,-1.3499999999999996,True,10.588781841648228,10.58878184164823,11.765313157386919,1,1.796338425716992,True
0.5,1.0,0.5,-1.4999999999999996,True,11.765313157386919,11.76531315738692,11.765313157386919,1,1.796338425716992,True
0.8,0.1,0.08000000000000002,-0.11999999999999994,True,0.9042572029610896,0.9042572029610899,9.042572029610895,1,1.796338425716992,True
0.8,0.2,0.16000000000000003,-0.23999999999999988,True,1.8085144059221792,1.8085144059221798,9.042572029610895,1,1.796338425716992,True
0.8,0.30000000000000004,0.24000000000000005,-0.35999999999999993,True,2.7127716088832696,2.71277160888327,9.042572029610897,1,1.796338425716992,True
0.8,0.4,0.32000000000000006,-0.47999999999999976,True,3.6170288118443583,3.6170288118443596,9.042572029610895,1,1.796338425716992,True
0.8,0.5,0.4,-0.5999999999999998,True,4.521286014805448,4.521286014805449,9.042572029610897,1,1.796338425716992,True
0.8,0.6,0.48,-0.7199999999999998,True,5.425543217766538,5.425543217766539,9.042572029610898,1,1.796338425716992,True
0.8,0.7000000000000001,0.56,-0.8399999999999999,True,6.329800420727629,6.329800420727629,9.042572029610898,1,1.796338425716992,True
0.8,0.8,0.6400000000000001,-0.9599999999999995,True,7.234057623688717,7.234057623688719,9.042572029610895,1,1.796338425716992,True
0.8,0.9,0.7200000000000001,-1.0799999999999996,True,8.138314826649808,8.13831482664981,9.042572029610897,1,1.796338425716992,True
0.8,1.0,0.8,-1.1999999999999995,True,9.042572029610897,9.042572029610898,9.042572029610897,1,1.796338425716992,True
1.0,0.1,0.1,-0.09999999999999995,True,0.7227411277760215,0.7227411277760217,7.227411277760215,1,1.796338425716992,True
1.0,0.2,0.2,-0.1999999999999999,True,1.445482255552043,1.4454822555520435,7.227411277760215,1,1.796338425716992,True
1.0,0.30000000000000004,0.30000000000000004,-0.29999999999999993,True,2.168223383328065,2.1682233833280655,7.227411277760216,1,1.796338425716992,True
1.0,0.4,0.4,-0.3999999999999998,True,2.890964511104086,2.890964511104087,7.227411277760215,1,1.796338425716992,True
1.0,0.5,0.5,-0.4999999999999998,True,3.613705638880108,3.6137056388801083,7.227411277760216,1,1.796338425716992,True
1.0,0.6,0.6,-0.5999999999999998,True,4.336446766656129,4.33644676665613,7.227411277760216,1,1.796338425716992,True
1.0,0.7000000000000001,0.7000000000000001,-0.6999999999999998,True,5.059187894432153,5.059187894432152,7.2274112777602175,1,1.796338425716992,True
1.0,0.8,0.8,-0.7999999999999996,True,5.781929022208172,5.781929022208174,7.227411277760215,1,1.796338425716992,True
1.0,0.9,0.9,-0.8999999999999996,True,6.504670149984195,6.504670149984195,7.227411277760217,1,1.796338425716992,True
1.0,1.0,1.0,-0.9999999999999996,True,7.227411277760216,7.227411277760217,7.227411277760216,1,1.796338425716992,True
