mu_A,lambda_A,c_Q,bias_ratio,a_L,m_L,a_H,m_H,IC_L_slack,IC_H_slack,IR_L_slack,IR_H_slack,active_constraints,IC_L_active,IC_H_active,IR_L_active,IR_H_active
0.1,2.0,2.0,10.0,0.9999999999999867,6.6666662676812685,0.9999999999999963,3.9999985392805155,1.0666678352424697,1.7777772457968268,86.6666666666665,83.9999999999994,None,False,False,False,False
0.1,4.0,2.0,20.0,4.671591882949247e-16,10.0,0.03733297051513402,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.1,6.0,2.0,30.0,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.1,8.0,2.0,40.0,1.7353934651782385e-16,10.0,0.2467107242999372,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.1,10.0,2.0,50.0,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.1,12.0,2.0,60.0,3.967865545674802e-16,10.0,0.4166666666666558,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.1,14.0,2.0,70.0,0.0,10.0,0.5000000000003482,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.1,16.0,2.0,80.0,0.0,10.0,0.49999999998777156,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.1,18.0,2.0,90.0,7.008179879585332e-16,10.0,0.5000000000106938,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.1,20.0,2.0,100.0,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.2,2.0,2.0,5.0,1.0,6.666662527413569,1.0,4.000000865581911,1.0666659741986848,1.7777722587777447,86.6666666666641,83.99999999999982,None,False,False,False,False
0.2,4.0,2.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.2,6.0,2.0,15.0,6.03525296154608e-16,10.0,0.1435565900360387,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.2,8.0,2.0,20.0,1.4702443578912315e-08,10.0,0.2467106978105066,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.2,10.0,2.0,25.0,0.0,10.0,0.3333333333332611,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.2,12.0,2.0,30.0,0.0,10.0,0.41666666666662355,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.2,14.0,2.0,35.0,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.2,16.0,2.0,40.0,1.0950476793668564e-14,10.0,0.4999999999902158,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.2,18.0,2.0,45.0,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.2,20.0,2.0,50.0,0.0,10.0,0.5000000000129036,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.30000000000000004,2.0,2.0,3.333333333333333,1.0,6.66666553685843,1.0,3.999999369305247,1.0666671712223348,1.777776271367003,86.66666666666647,83.99999999999989,None,False,False,False,False
0.30000000000000004,4.0,2.0,6.666666666666666,4.011619371951433e-16,10.0,0.03733293499850081,9.999999999999998,1.4210854715202004e-14,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.30000000000000004,6.0,2.0,9.999999999999998,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.30000000000000004,8.0,2.0,13.333333333333332,0.0,10.0,0.2467103799116285,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.30000000000000004,10.0,2.0,16.666666666666664,7.412175685295825e-09,10.0,0.3333333333333177,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
